,house_name,house_basic_inf,house_address,house_totalprice,house_unitprice
96,朝晖九区 ,3室1厅_71.9平米_南_精装_中楼层(共7层)_板楼,朝晖,250万,单价34771元/平米
97,中旅紫金名门 ,3室2厅_87.52平米_南_简装_33层_板塔结合,申花,375万,单价42848元/平米
98,润达花园 ,3室1厅_90.57平米_南北_简装_高楼层(共6层)_板楼,三墩,240万,单价26499元/平米
99,江南铭庭 ,2室1厅_87.58平米_南北_精装_低楼层(共23层)_板楼,白马湖,315万,单价35968元/平米
100,东茂苑 ,2室1厅_62.44平米_南北_精装_高楼层(共7层)_板楼,闸弄口,229万,单价36676元/平米
101,永康苑 ,2室1厅_55.33平米_南北_精装_高楼层(共7层)_板楼,建国北路,226万,单价40846元/平米
102,新西湖小镇 ,3室2厅_82.11平米_东_精装_11层_板塔结合,闲林,245万,单价29839元/平米
103,长睦邻里人家东苑 ,3室2厅_90.21平米_东南北_精装_中楼层(共16层)_板楼,丁桥,240万,单价26605元/平米
104,新城山语院 ,3室2厅_89.78平米_南_精装_中楼层(共25层)_板塔结合,临平,238万,单价26510元/平米
105,万家花园万和苑 ,2室1厅_92.25平米_东南北_简装_20层_板楼,闸弄口,380万,单价41193元/平米
106,罗马公寓 ,3室2厅_123.3平米_南北_简装_低楼层(共9层)_板楼,黄龙,860万,单价69749元/平米
107,山水人家白沙岛 ,3室2厅_157.08平米_南北_精装_11层_板楼,文三西路,760万,单价48383元/平米
108,嘉里桦枫居南区 ,3室2厅_88.95平米_南_精装_高楼层(共17层)_板塔结合,石桥,315万,单价35414元/平米
109,星洲花园万黛兰居 ,4室2厅_161.8平米_南_精装_高楼层(共6层)_板楼,文一西路,890万,单价55007元/平米
110,胡姬花园 ,4室2厅_166.87平米_南_精装_低楼层(共6层)_板楼,临平,420万,单价25170元/平米
111,绿城莲园 ,3室2厅_128平米_南_精装_25层_板塔结合,临平,300万,单价23438元/平米
112,康乐新村 ,2室2厅_70.38平米_南_精装_高楼层(共7层)_板楼,文三西路,308万,单价43763元/平米
113,众安嘉润公馆（杭州国际办公中心） ,5室2厅_291.58平米_南_精装_高楼层(共47层)_板楼,奥体,1350万,单价46300元/平米
114,西溪诚园明礼苑 ,3室2厅_147.46平米_南_精装_高楼层(共10层)_板楼,西溪,470万,单价31874元/平米
115,保利湾天地 ,2室2厅_71.16平米_南_精装_33层_板塔结合,沿江南,105万,单价14756元/平米
116,绿城之江1号 ,4室2厅_323.7平米_南_精装_中楼层(共23层)_塔楼,转塘,1450万,单价44795元/平米
117,紫欣华庭 ,3室2厅_102.64平米_南_精装_中楼层(共13层)_板塔结合,崇贤,168万,单价16368元/平米
118,西溪玫瑰 ,5室2厅_246.91平米_南_精装_3层_板楼_联排别墅,西溪,1550万,单价62776元/平米
119,南岸花城 ,5室2厅_220.08平米_南_精装_1层_板楼_联排别墅,闻堰,950万,单价43167元/平米
120,野风启城 ,4室2厅_159.95平米_南_毛坯_低楼层(共5层)_板楼,塘栖,330万,单价20632元/平米
121,天阳上河 ,4室2厅_139.91平米_南_精装_高楼层(共17层)_板楼,桥西,880万,单价62898元/平米
122,钱江湾花园 ,4室2厅_183.12平米_南_精装_16层_板楼,浦沿,750万,单价40957元/平米
123,国信嘉园 ,8室3厅_288.85平米_南_简装_5层_板塔结合,彩虹城,1000万,单价34621元/平米
124,东海水景城 ,3室2厅_135.8平米_西南_毛坯_高楼层(共25层)_塔楼,临平,359万,单价26436元/平米
125,北大街 ,3室1厅_60.98平米_东西_简装_中楼层(共7层)_板楼,临平,130万,单价21319元/平米
126,望城 ,3室2厅_98.17平米_南_精装_9层_板楼,良渚,256万,单价26078元/平米
127,绿城紫桂公寓 ,4室2厅_174.03平米_南_毛坯_中楼层(共17层)_板楼,星桥,355万,单价20399元/平米
128,良渚文化村白鹭郡东 ,3室2厅_125.06平米_南_简装_4层_板楼,良渚,365万,单价29186元/平米
129,一清新村 ,2室1厅_65平米_南_简装_高楼层(共6层)_板楼,湖墅,258万,单价39693元/平米
